taxon	from	to	parent	children	notes	level	asterisk	is_collapsed	is_root	is_tip	is_node
diplodocus	-154	-152	diplodocidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
diprotodon	-1.77	-0.04	diprotodontidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
diprotodontidae	-28.4	-0.04	marsupalia	diprotodon	giant wombats	family	FALSE	FALSE	FALSE	FALSE	TRUE
dissacus	-66	-50.3	mesonychidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
dorudon	-41.03	-33.9	basilosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
dreadnoughtus	-76	-70	titanosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
dromaeosauridae	-145	-66	deinonychosauria	eudromaeosauria, microraptoria	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
dromaeosaurus	-80	-69.1	eudromaeosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
dromornis	-8	-0.03	dromornithidae	NA	'Swift-running bird'. Australia. Large to enormous flightless birds.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
dromornithidae	-25	-0.03	galloanserae	dromornis	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
dryosauridae	-164	-115	ornithopoda	dryosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
dryosaurus	-155	-145	dryosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
dryptosaurus	-67	-66	eutyrannosauria	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
dunkleosteus	-382	-358	placodermi	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
edaphosauridae	-307	-272	synapsida	edaphosaurus, lupeosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
edaphosaurus	-303.4	-272.5	edaphosauridae	NA	'Pavement lizard'. North America, Europe. Large dorsal sail. One of the earliest-known, large, herbivorous amniotes.	NA	FALSE	FALSE	FALSE	TRUE	FALSE
edmontonia	-76.5	-69	nodosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
edmontosaurus	-73	-66	hadrosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
elasmobranchii	-439	-0	chondrichthyes	NA	rays, skates, and sawfish	NA	FALSE	FALSE	FALSE	TRUE	FALSE
elasmosauridae	-130	-66	plesiosauria	elasmosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
elasmosaurus	-80.64	-77	elasmosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
elasmotherium	-7	-0.039	rhinocerotidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
elephantidae	-10	-0	proboscidea	elephas, loxodonta, mammuthus, palaeoloxodon	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
elephas	-5	-0	elephantidae	NA	One extant species: E. maximus (Asian elephant).	genus	FALSE	FALSE	FALSE	TRUE	FALSE
elginerpeton	-375	-375	tetrapodomorpha	NA	'Creeping thing from Elginshire'. Named after Elginshire, Scotland (which became Morayshire in 1919) 	genus	FALSE	FALSE	FALSE	TRUE	FALSE
embolotherium	-40	-40	brontotheriidae	NA	NA	genus	TRUE	FALSE	FALSE	TRUE	FALSE
enantiornithes	-136	-66	avialae	NA	'opposite birds'.	NA	FALSE	FALSE	FALSE	TRUE	FALSE
entelodontidae	-37.2	-15.97	artiodactyla	daeodon, archaeotherium	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
eodromaeus	-231.4	-229	theropoda	NA	'dawn runner', Argentina	NA	FALSE	FALSE	FALSE	TRUE	FALSE
eohippus	-55.8	-47.8	equidae	NA	'Dawn horse'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
eoraptor	-231	-228	theropoda	NA	maybe a sauropodomorph?	NA	FALSE	FALSE	FALSE	TRUE	FALSE
eotyrannus	-130	-130	tyrannosauroidea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
epidexipteryx	-164	-164	scansoriopterygidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
epihippus	-46.2	-38	equidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
equidae	-57	-0	perissodactyla	eohippus, orohippus, epihippus, mesohippus, miohippus, parahippus, pliohippus, dinohippus, equus	NA	family	TRUE	FALSE	FALSE	FALSE	TRUE
equus	-5.33	-0	equidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
eryops	-299	-273	temnospondyli	NA	'Drawn-out face'. USA. Up to 3 m long - among the largest land animals of their time.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
